iter	Passed	Remaining
0	23	23462
1	47	23718
2	75	25039
3	99	24673
4	124	24874
5	145	24181
6	171	24287
7	192	23815
8	218	24018
9	240	23768
10	269	24200
11	294	24267
12	320	24327
13	345	24322
14	369	24264
15	393	24188
16	416	24058
17	438	23905
18	463	23946
19	487	23897
20	511	23858
21	535	23821
22	562	23891
23	585	23819
24	610	23807
25	635	23789
26	659	23761
27	683	23737
28	705	23627
29	733	23717
30	757	23681
31	782	23670
32	808	23697
33	832	23658
34	856	23604
35	880	23590
36	904	23530
37	925	23435
38	951	23435
39	975	23414
40	997	23334
41	1021	23309
42	1046	23300
43	1077	23414
44	1101	23383
45	1124	23315
46	1147	23276
47	1171	23228
48	1194	23187
49	1216	23118
50	1239	23067
51	1266	23087
52	1289	23041
53	1316	23056
54	1339	23017
55	1362	22970
56	1384	22901
57	1407	22862
58	1430	22810
59	1454	22791
60	1478	22758
61	1502	22725
62	1527	22711
63	1551	22688
64	1575	22662
65	1599	22629
66	1626	22647
67	1660	22760
68	1683	22718
69	1707	22687
70	1731	22659
71	1755	22625
72	1783	22644
73	1808	22635
74	1831	22594
75	1855	22561
76	1879	22527
77	1900	22469
78	1924	22431
79	1945	22378
80	1970	22353
81	1993	22313
82	2017	22287
83	2046	22315
84	2071	22293
85	2094	22259
86	2118	22227
87	2143	22212
88	2170	22220
89	2194	22185
90	2216	22137
91	2238	22092
92	2261	22052
93	2300	22168
94	2324	22140
95	2348	22112
96	2372	22083
97	2396	22061
98	2419	22018
99	2443	21995
100	2466	21955
101	2489	21916
102	2512	21880
103	2538	21871
104	2561	21832
105	2584	21797
106	2607	21762
107	2629	21720
108	2654	21701
109	2677	21665
110	2700	21628
111	2723	21592
112	2744	21539
113	2767	21505
114	2792	21491
115	2820	21493
116	2843	21461
117	2867	21435
118	2891	21407
119	2914	21374
120	2938	21344
121	2960	21306
122	2984	21276
123	3007	21246
124	3035	21249
125	3059	21225
126	3083	21193
127	3106	21165
128	3129	21127
129	3152	21096
130	3175	21064
131	3198	21035
132	3222	21007
133	3246	20979
134	3270	20958
135	3296	20942
136	3322	20926
137	3348	20915
138	3371	20882
139	3394	20851
140	3419	20831
141	3442	20798
142	3469	20790
143	3495	20776
144	3521	20763
145	3545	20740
146	3571	20726
147	3596	20702
148	3621	20686
149	3645	20660
150	3670	20636
151	3694	20610
152	3718	20582
153	3743	20563
154	3771	20561
155	3794	20530
156	3818	20502
